524,1,0,23
161,1,1,8
5,1,2,0
1,1,3,0
26,1,4,3
0,1,5,0
7,1,6,0
112,1,7,7
185,1,8,8
16,1,9,0
1,1,10,0
15,1,11,0
118,1,12,4
1,1,13,0
69,1,14,5
0,1,15,0
4,1,16,0
1,1,17,1
0,1,18,0
25,1,19,1
40,1,20,2
42,1,21,0
28,1,22,9
164,1,23,4
45,1,24,1
17,1,25,1
7,1,26,0
64,1,27,3
97,1,28,0
7,1,29,0
0,1,30,0
4,1,31,0
0,1,32,0
3,1,33,0
0,1,34,0
3,1,35,0
8,1,36,1
95,1,37,6
4,1,38,0
13,1,39,1
5,1,40,0
2,1,41,1
61,1,42,2
0,1,43,0
0,1,44,0
3,1,45,0
72,1,46,0
3,1,47,0
154,1,48,4
1,1,49,0
0,1,50,0
655,1,51,23
0,1,52,0
4,1,53,0
3,1,54,0
2,1,55,0
2,1,56,0
7,1,57,1
0,1,58,0
1,1,59,0
0,1,60,0
3,1,61,2
0,1,62,0
0,1,63,0
2,1,64,0
1,1,65,0
6,1,66,0
1915,2,0,908
279,2,1,12
13,2,2,0
0,2,3,0
60,2,4,3
2,2,5,0
12,2,6,1
454,2,7,128
413,2,8,19
31,2,9,0
1,2,10,0
18,2,11,0
249,2,12,4
10,2,13,0
165,2,14,58
0,2,15,0
12,2,16,0
2,2,17,0
0,2,18,0
47,2,19,2
42,2,20,1
57,2,21,4
51,2,22,7
1362,2,23,801
83,2,24,3
34,2,25,2
11,2,26,2
131,2,27,8
196,2,28,7
9,2,29,0
1,2,30,1
6,2,31,0
3,2,32,0
4,2,33,0
4,2,34,0
5,2,35,2
13,2,36,0
329,2,37,63
12,2,38,1
30,2,39,12
6,2,40,0
8,2,41,1
73,2,42,4
0,2,43,0
3,2,44,0
2,2,45,0
96,2,46,8
3,2,47,0
260,2,48,9
1,2,49,0
1,2,50,1
4601,2,51,3250
1,2,52,0
5,2,53,1
3,2,54,1
6,2,55,0
0,2,56,0
10,2,57,0
1,2,58,0
1,2,59,0
0,2,60,0
1,2,61,0
0,2,62,0
0,2,63,0
3,2,64,0
0,2,65,0
8,2,66,0
1384,3,0,647
201,3,1,8
6,3,2,0
2,3,3,1
79,3,4,2
1,3,5,0
9,3,6,0
253,3,7,56
366,3,8,22
32,3,9,2
2,3,10,0
11,3,11,0
175,3,12,16
